date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:46	66309/66309	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from )
12:26:47	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2008:26:46%20GMT	https://demos.creative-tim.com/robots.txt		(from )
12:26:47	2446/2446	---M--	200	added ('OK')	image/png	etag:%225d233600-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:47	2761/2761	---M--	200	added ('OK')	image/png	etag:%225d233600-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/dash/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:49	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	C:/My%20Web%20Sites/dash/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:49	510343/510343	---M-Z	200	added ('OK')	text/css	etag:W/%225d233600-7c987%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.1.0	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.minf066.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:50	847/847	---M-Z	200	added ('OK')	text/css	etag:W/%225d233600-34f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2028%20Dec%202019%2008:26:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dash/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:50	189310/189310	---M--	200	added ('OK')	image/jpeg	etag:%225d233601-2e37e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:51	85214/85214	---M--	200	added ('OK')	image/jpeg	etag:%225d233600-14cde%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:51	20532/20532	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:51	63923/63923	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:51	44305/44305	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/timeline.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/timeline.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:51	20481/20481	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/login.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/login.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:52	22576/22576	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/register.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/register.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:52	18648/18648	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/lock.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/lock.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:52	44685/44685	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/user.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/user.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:52	19967/19967	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/error.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/pages/error.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:52	62056/62056	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:53	51542/51542	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:53	57486/57486	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
12:26:53	43485/43485	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	C:/My%20Web%20Sites/dash/demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
